,Country,Closeness,Betweeness,Eigenvector,FILTER
0,ABW,0.384176747622126,3.40597747754701E-06,0.056030343457553,FALSE
1,ARE,0.514118882847257,0.002983107685301,0.085646793623015,FALSE
2,ARG,0.451097858498238,0.001273159015574,0.074575278213548,TRUE
3,ARM,0.408889871738169,0.000117176036964,0.064218727192918,FALSE
4,ATG,0.386299271089651,0.000169629015654,0.056689914902127,FALSE
5,AUS,0.510366190271729,0.002983568569523,0.085163308200564,FALSE
6,AUT,0.488952224246342,0.00272150703045,0.082342897748851,FALSE
7,AZE,0.408889871738169,0.000179579906955,0.064631790066705,FALSE
8,BDI,0.380000913408842,4.50750938814004E-05,0.055878019613316,FALSE
9,BEL,0.521792299009156,0.004764604018584,0.087144816321124,TRUE
10,BEN,0.42375859434683,0.000339378474327,0.068553726641456,FALSE
11,BFA,0.406512605042017,0.000171240972029,0.06379459962658,FALSE
12,BGR,0.482208055636048,0.00194944991538,0.081318634574966,FALSE
13,BIH,0.411295106277805,0.00032260216671,0.064871499342904,FALSE
14,BLR,0.411295106277805,0.000406538436242,0.064902291482425,FALSE
15,BLZ,0.392809932961949,0.000149454722225,0.058585888191705,FALSE
16,BMU,0.377946854417443,4.54180297843287E-05,0.053689494786509,FALSE
17,BRA,0.495887716788843,0.003615950169038,0.082729474038037,TRUE
18,BRB,0.408889871738169,0.000428962649512,0.063926070901236,FALSE
19,BRN,0.392809932961949,0.000179935322535,0.060060961974284,FALSE
20,BWA,0.397273682200153,0.000151101161238,0.061131627261239,FALSE
21,CAN,0.529698242933537,0.004230544869349,0.087685453790019,FALSE
22,CHE,0.517927170868347,0.003554030003465,0.086201668264268,FALSE
23,CHL,0.47564740181787,0.001262188161599,0.079309183817462,TRUE
24,CHN,0.537847446670976,0.004617977246485,0.088991801572227,FALSE
25,CIV,0.454027065371603,0.000626114450924,0.075611935789737,FALSE
26,COG,0.454027065371603,0.00040458414733,0.075680589718668,FALSE
27,COL,0.478905260734431,0.002264191596179,0.080041391638809,TRUE
28,COM,0.366074178362444,1.29570588789705E-05,0.050429564494016,FALSE
29,CPV,0.384176747622126,3.33936368636058E-05,0.057018618589107,FALSE
30,CRI,0.426342488214798,0.000577402769539,0.06864438044145,FALSE
31,CYP,0.451097858498238,0.001118340341533,0.075542194783818,FALSE
32,CZE,0.478905260734431,0.001953786701117,0.080698838295104,TRUE
33,DEU,0.525715549377646,0.005161594867047,0.08786750915223,FALSE
34,DNK,0.499429771908763,0.002984099338332,0.084313970048897,FALSE
35,ECU,0.431605975723623,0.000619002610351,0.070203872779331,FALSE
36,EGY,0.482208055636048,0.001272208305499,0.08099241660612,FALSE
37,ESP,0.521792299009156,0.004907076926217,0.087521423932312,TRUE
38,EST,0.428958086302005,0.00069396508263,0.070511867517698,FALSE
39,EUN,0,0,5.62602825400046E-14,FALSE
40,FIN,0.472433568021803,0.002385701227609,0.079541091823019,FALSE
41,FJI,0.371915787591632,0.000505616014932,0.052356920088528,FALSE
42,FRA,0.529698242933537,0.005086053536571,0.088229223025123,TRUE
43,GBR,0.525715549377646,0.005125981407067,0.087858087406093,TRUE
44,GEO,0.431605975723623,0.00025261792745,0.070022157291394,FALSE
45,GHA,0.488952224246342,0.001118980212356,0.082104235402809,FALSE
46,GMB,0.408889871738169,8.95398642855182E-05,0.064723172923672,FALSE
47,GRC,0.485556722689076,0.002571863266484,0.081798576056113,FALSE
48,GTM,0.42375859434683,0.000442950773787,0.06843951418526,FALSE
49,GUY,0.404162821197843,0.000438166219702,0.062315135478448,FALSE
50,HKG,0.510366190271729,0.002298773352394,0.085139887462788,FALSE
51,HND,0.404162821197843,0.000188550938513,0.063185136479164,FALSE
52,HRV,0.43974948469954,0.000957626851631,0.073156204872468,FALSE
53,HUN,0.46000110570544,0.001634379785671,0.077007711994124,FALSE
54,IDN,0.495887716788843,0.003078550546908,0.082870113632475,FALSE
55,IND,0.521792299009156,0.004153596519491,0.087036779337177,FALSE
56,IRL,0.488952224246342,0.002418947000925,0.082211638893668,FALSE
57,ISL,0.418683641121119,0.000418904889918,0.066944409916337,FALSE
58,ISR,0.46000110570544,0.000618939400745,0.075350690681448,FALSE
59,ITA,0.521792299009156,0.004425001644034,0.087250260737747,FALSE
60,JAM,0.416191476590636,0.00049144016327,0.065693007806051,FALSE
61,JOR,0.456994562530895,0.000868949683626,0.075895881507167,FALSE
62,JPN,0.517927170868347,0.003373708374079,0.086362754251719,FALSE
63,KAZ,0.421205831730282,0.000262227328261,0.067654833894854,FALSE
64,KEN,0.482208055636048,0.001204153299707,0.080799917358708,FALSE
65,KGZ,0.384176747622126,5.83666335682096E-05,0.056534781598401,FALSE
66,KHM,0.426342488214798,0.000603478371727,0.068685228721992,FALSE
67,KOR,0.517927170868347,0.003992769466614,0.086362754251719,FALSE
68,KWT,0.466134453781513,0.000993937982181,0.077734606337392,FALSE
69,LAO,0.384176747622126,0.000150769307634,0.056910976639772,FALSE
70,LCA,0.373904642070732,0.000195963956521,0.052885243804909,FALSE
71,LTU,0.451097858498238,0.001154239932555,0.075441365177181,FALSE
72,LUX,0.42375859434683,0.00130570026713,0.069118976059354,FALSE
73,LVA,0.445351388963229,0.001371675190911,0.074070516115923,FALSE
74,MAC,0.380000913408842,2.02955052697781E-05,0.055609962813148,FALSE
75,MAR,0.472433568021803,0.0010304441385,0.079259580294197,FALSE
76,MDA,0.408889871738169,0.000365928560197,0.063794843881103,FALSE
77,MDG,0.42375859434683,0.000525477661782,0.068032798321999,FALSE
78,MEX,0.499429771908763,0.0012116686257,0.083390400263634,FALSE
79,MKD,0.397273682200153,0.00023712172276,0.060543131637957,FALSE
80,MLT,0.442532709286246,0.001044577925371,0.073367913090202,FALSE
81,MMR,0.431605975723623,0.000573551796909,0.070286397262233,FALSE
82,MNG,0.408889871738169,8.922271434768E-05,0.064036775886294,FALSE
83,MRT,0.418683641121119,0.00024126947624,0.067228375191361,FALSE
84,MUS,0.445351388963229,0.000729314406573,0.073248143770174,FALSE
85,MWI,0.395029198119926,0.000209334206264,0.060133452059639,FALSE
86,MYS,0.517927170868347,0.003444084208726,0.086290026051863,FALSE
87,NAM,0.41372880513152,0.000759296942797,0.065285528418912,FALSE
88,NGA,0.492395549769203,0.000721861188906,0.08239216747519,FALSE
89,NIC,0.399543817527011,0.000181092029531,0.061696234802817,FALSE
90,NLD,0.533741740971198,0.006757942615787,0.088763570514147,TRUE
91,NOR,0.506667884545122,0.002500712953639,0.084613704849605,FALSE
92,NZL,0.503022791850553,0.003007422070479,0.083819585901784,FALSE
93,OAS,0.514118882847257,0.003221183716556,0.085590996117811,FALSE
94,PAK,0.488952224246342,0.001787129817701,0.081604738883879,FALSE
95,PER,0.454027065371603,0.001224747888483,0.075449648153257,TRUE
96,PHL,0.492395549769203,0.002603283016225,0.082339161338026,FALSE
97,POL,0.495887716788843,0.003236943694361,0.08351693313041,FALSE
98,PRT,0.495887716788843,0.00328874507896,0.083436446283603,FALSE
99,PRY,0.41372880513152,0.000246315056794,0.065799404801974,FALSE
100,QAT,0.463047470643887,0.000671572491794,0.077104891832515,FALSE
101,ROM,0.46000110570544,0.001582637342647,0.077309445776625,FALSE
102,RUS,0.492395549769203,0.001706259154568,0.082319197134454,FALSE
103,RWA,0.416191476590636,0.000238825518568,0.066232780899222,FALSE
104,SAU,0.485556722689076,0.001365420274869,0.081128856557982,FALSE
105,SEN,0.448206205559147,0.000650031861475,0.074282145102694,FALSE
106,SER,0.434286758181534,0.000700364296509,0.070283761662712,FALSE
107,SGP,0.503022791850553,0.003149559018132,0.084057067812806,FALSE
108,SLV,0.38844537815126,0.000191086025748,0.058306540952914,FALSE
109,STP,0.334546258694865,1.53142207824158E-05,0.037929270963272,FALSE
110,SUR,0.406512605042017,0.000194647679832,0.063327777775129,FALSE
111,SVK,0.448206205559147,0.001488863786748,0.074212739056207,FALSE
112,SVN,0.43974948469954,0.001655415452727,0.07271475557579,FALSE
113,SWE,0.485556722689076,0.002810250856661,0.08163080603789,FALSE
114,SWZ,0.384176747622126,0.000204943194839,0.056243916154833,FALSE
115,SYC,0.401840046363373,0.000138259180387,0.061867036099859,FALSE
116,TGO,0.426342488214798,0.000277029910322,0.069468262377278,FALSE
117,THA,0.510366190271729,0.004562509266987,0.085052202505638,FALSE
118,TUN,0.445351388963229,0.000755438514013,0.073711601129243,FALSE
119,TUR,0.510366190271729,0.003859650734269,0.085311147079158,FALSE
120,URY,0.428958086302005,0.000862424034935,0.069669530473398,FALSE
121,USA,0.537847446670976,0.0055735139023,0.088763570514203,TRUE
122,UZB,0.392809932961949,6.77984344121872E-05,0.059812575586155,FALSE
123,VCT,0.382077421132387,0.00022980976214,0.05550774689914,FALSE
124,VNM,0.506667884545122,0.000441003220799,0.084615345140365,FALSE
125,WSM,0.33137520411008,0.000105377568821,0.036443390317989,FALSE
126,YEM,0.399543817527011,1.06045882763896E-05,0.061860276111742,FALSE
127,ZAF,0.503022791850553,0.00399153115281,0.084033887947072,FALSE
128,ZMB,0.418683641121119,0.00034703467089,0.066499606206701,FALSE
129,ZWE,0.41372880513152,0.00015673850686,0.065223343732272,FALSE
